Time(s),Accuracy,Baseline,Accuracy_STD
-2.5,0.40555555555555556,0.33333333333333337,0.04212708580028639
-2.25,0.41666666666666663,0.3944444444444445,0.07081971546656644
-2.0,0.43888888888888894,0.3611111111111111,0.09501461875826152
-1.75,0.4722222222222222,0.3555555555555555,0.05196746370519362
-1.5,0.4166666666666667,0.33333333333333337,0.07081971546656644
-1.25,0.36666666666666664,0.35,0.09899183156225255
-1.0,0.33333333333333337,0.33333333333333337,0.06514466333088097
-0.75,0.3388888888888889,0.3388888888888889,0.07708020514173114
-0.5,0.37222222222222223,0.31111111111111106,0.06972166887783961
-0.25,0.4333333333333333,0.2611111111111112,0.06394924685122966
0.0,0.4666666666666667,0.3,0.06022078719077445
0.25,0.8333333333333334,0.3333333333333333,0.058925565098878946
0.5,0.9222222222222222,0.3277777777777778,0.06022078719077443
0.75,0.9055555555555556,0.34444444444444444,0.03167153958608714
1.0,0.95,0.3277777777777778,0.023240556292613217
1.25,0.9388888888888889,0.3222222222222222,0.030429030972509243
1.5,0.9666666666666668,0.3222222222222222,0.030429030972509243
1.75,0.961111111111111,0.2833333333333333,0.015214515486254621
2.0,0.9722222222222223,0.27222222222222225,0.0340206908719886
2.25,0.9888888888888889,0.3388888888888889,0.015214515486254621
2.5,0.9722222222222223,0.3111111111111111,0.019641855032959663
2.75,0.9777777777777779,0.3666666666666667,0.03621779114001473
3.0,0.9666666666666668,0.35,0.02324055629261322
3.25,0.9888888888888889,0.34444444444444444,0.015214515486254621
3.5,0.9833333333333334,0.3111111111111111,0.024845199749997673
3.75,0.9833333333333334,0.3555555555555555,0.024845199749997673
4.0,0.961111111111111,0.34444444444444444,0.03726779962499651
4.25,0.9777777777777779,0.29444444444444445,0.02324055629261322
4.5,0.9722222222222221,0.2444444444444444,1.2412670766236366e-16
4.75,0.9777777777777779,0.3333333333333333,0.012422599874998838
5.0,0.9777777777777779,0.35555555555555557,0.012422599874998838
5.25,0.9777777777777779,0.3611111111111111,0.012422599874998838
5.5,0.9666666666666666,0.33333333333333337,0.012422599874998837
5.75,0.9555555555555555,0.37222222222222223,0.024845199749997673
6.0,0.9666666666666666,0.37222222222222223,0.030429030972509243
6.25,0.9777777777777779,0.3833333333333333,0.02324055629261322
6.5,0.9444444444444444,0.3722222222222222,0.039283710065919325
6.75,0.9277777777777778,0.3722222222222222,0.031671539586087184
7.0,0.9,0.2944444444444444,0.0464811125852264
7.25,0.8777777777777779,0.26111111111111107,0.08002700161604405
7.5,0.8666666666666668,0.31666666666666665,0.03621779114001468
7.75,0.8722222222222221,0.26111111111111107,0.046481112585226386
8.0,0.8222222222222222,0.35,0.024845199749997673
8.25,0.8277777777777778,0.4,0.04564354645876387
8.5,0.7333333333333334,0.3333333333333333,0.06085806194501848
8.75,0.7055555555555555,0.36666666666666664,0.09337631285539784
9.0,0.7111111111111111,0.2944444444444444,0.10865337342004414
9.25,0.6333333333333334,0.35,0.0633430791721743
9.5,0.5722222222222222,0.35555555555555557,0.10130323627116926
9.75,0.5555555555555556,0.3277777777777778,0.06804138174397716
